,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
27,Burning Sands,Gerard McMurray,Stephanie Allain Jason Michael Berman Reginald Hudlin Mel Jones Camila Tanabe Patrick Raymond,,,Trevor Jackson Alfre Woodard Steve Harris Tosin Cole DeRon Horton Christian Robinson Trevante Rhodes Jay Q Saun Serayah,Kevin Lax,Isiah Donté Lee,Evan Schrodek,,Netflix,102 minutes,United States,English,102,,2017,Gerard McMurray Christine Berg,Mandalay Pictures Homegrown Pictures Hudlin Entertainment Freedom Road Productions,
28,Deidra & Laney Rob a Train,Sydney Freeland,Susan Cartsonis Nick Moceri,,,Ashleigh Murray Rachel Crow Tim Blake Nelson David Sullivan Danielle Nicolet Sasheer Zamata Lance Gray,Mark Orton,Quyen Tran,Michael Taylor,Netflix,Netflix,,United States,English,,,2017,Shelby Farrell,,
29,The Most Hated Woman in America,Tommy O'Haver,Max Handelman Elizabeth Banks Laura Rister,,,Devin Taylor          Freeman Melissa Leo Peter Fonda Sally Kirkland Rory Cochrane Josh Lucas Adam Scott Juno Temple Vincent Kartheiser,Alan Ari Lazar,Armando Salas,Michael X. Flores,,Netflix,91 minutes,United States,English,91,,2017,Tommy O'Haver Irene Turner,Brownstone Productions Untitled Entertainment,
30,The Discovery,Charlie McDowell,Alex Orlovsky James D. Stern,,,Jason Segel Rooney Mara Jesse Plemons Riley Keough Robert Redford,Danny Bensi Saunder Jurriaans,Sturla Brandth Grøvlen,Jennifer Lilly,,Netflix,102 minutes,United States,English,102,,2017,Justin Lader Charlie McDowell,Endgame Entertainment Protagonist Pictures A-Lo Films,
31,Win It All,Joe Swanberg,Joe Swanberg Jake Johnson Alex Orr,,,Jake Johnson Aislinn Derbez Joe Lo Truglio Keegan-Michael Key Nicky Excitement,Dan Romer,Eon Mora,Joe Swanberg,Forager Films Garrett Doubles Down,Netflix,90 minutes,United States,English,90,,2017,Joe Swanberg Jake Johnson,,
32,Sandy Wexler,Steven Brill,Allen Covert Adam Sandler Ted Sarandos,,,Adam Sandler Jennifer Hudson Kevin James Terry Crews Rob Schneider Colin Quinn Lamorne Morris,Rupert Gregson-Williams,Dean Semler,Tom Costain,,Netflix,131 minutes,United States,English,131,24300000,2017,Dan Bulla Paul Sado Adam Sandler,Happy Madison Productions,
33,Sand Castle,Fernando Coimbra,Mark Gordon Justin Nappi Ben Pugh,,,Nicholas Hoult Logan Marshall-Green Henry Cavill Glen Powell Beau Knapp Neil Brown Jr. Tommy Flanagan,Adam Peters,Ben Richardson,Zach Staenberg,,Netflix,113 minutes,United States,English,113,,2017,Chris Roessner,42 Treehouse Pictures,
34,Tramps,Adam Leon,Joshua Astrachan David Kaplan Andrea Roa Jamund Washington,,,Callum Turner Grace Van Patten,Nicholas Britell,Ashley Connor,"['Morgan Faust', 'Sara Shaw']",,Netflix,83 minutes,United States,English,83,,2016,Adam Leon,Animal Kingdom Rooks Nest Entertainment,
35,Small Crimes,Evan Katz,David Lancaster Stephanie Wilcox,Evan Katz Macon Blair,"['Small Crimes', 'by', 'Dave Zeltserman']",Nikolaj Coster-Waldau Gary Cole Molly Parker Macon Blair Pat Healy Jacki Weaver Robert Forster,Will Blair Brooke Blair,Andrew Wheeler,Josh Ethier,Rooks Nest Entertainment Fairmount Films Rumble Films,Netflix,95 minutes,United States,English,95,,2017,,,
36,Handsome,Jeff Garlin,"['Brad Morris', 'Andrew Secunda']",,,"['Jeff Garlin', 'Natasha Lyonne', 'Amy Sedaris', 'Leah Remini', 'Christine Woods', 'Steven Weber']",Ben Folds,Jason Blount,Jon Corn,,Netflix,81 minutes,United States,English,81,,2017,"['Jeff Garlin', 'Andrea Seigel']",JZM Films,
37,Blame!,Hiroyuki Seshita,Shuzo John Shiota,Sadayuki Murai,"['Blame!', 'by', 'Tsutomu Nihei']","['Takahiro Sakurai', 'Kana Hanazawa', 'Sora Amamiya', 'Mamoru Miyano', 'Aya Suzaki', 'Nobunaga Shimazaki']",Yugo Kanno,,Hiromi Amanai,,Netflix,106 minutes,Japan,Japanese,106,,2017,Tsutomu Nihei,Polygon Pictures,Tsutomu Nihei
38,War Machine,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Ted Sarandos Ian Bryce,,"['The Operators', 'by', 'Michael Hastings']",Brad Pitt Anthony Michael Hall Anthony Hayes Topher Grace Will Poulter Tilda Swinton Ben Kingsley,Nick Cave Warren Ellis,Dariusz Wolski,Peter Sciberras,,Netflix,122 minutes,United States,English,122,60000000,2017,David Michôd,Plan B Entertainment Blue-Tongue Films,
39,Shimmer Lake,Oren Uziel,Adam Saunders Britton Rizzio,,,Benjamin Walker Wyatt Russell Rainn Wilson Adam Pally John Michael Higgins Ron Livingston Stephanie Sigman Rob Corddry,Joseph Trapanese,Jarin Blaschke,Blake Maniquis,,Netflix,83 minutes,Canada,English,83,,2017,Oren Uziel,Footprint Features Writ Large,
40,Okja,Bong Joon-ho,Dede Gardner Jeremy Kleiner Lewis Taewan Kim Dooho Choi Seo Woo-sik Bong Joon-ho Ted Sarandos,Bong Joon-ho Jon Ronson,,Tilda Swinton Paul Dano Ahn Seo-hyun Byun Hee-bong Steven Yeun Lily Collins Yoon Je-moon Shirley Henderson Daniel Henshall Devon Bostick Choi Woo-shik Giancarlo Esposito Jake Gyllenhaal,Jung Jae-il,Darius Khondji,Yang Jin-mo,Plan B Entertainment Lewis Pictures Kate Street Picture Company,"['Netflix', '(International)', 'Next Entertainment World', '(South Korea)']",120 minutes,South Korea,Korean,120,50000000,2017,,,Bong Joon-ho
41,To the Bone,Marti Noxon,Bonnie Curtis Karina Miller Julie Lynn,,,Lily Collins Carrie Preston Lili Taylor Keanu Reeves,Fil Eisler,Richard Wong,Elliot Greenberg,,Netflix,107 minutes,United States,English,107,,2017,Marti Noxon,AMBI Group Sparkhouse Media Foxtail Entertainment Mockingbird Pictures To The Bone Productions,
42,The Incredible Jessica James,James C. Strouse,"['Michael B. Clark', 'Alex Turtletaub']",,,"['Jessica Williams', ""Chris O'Dowd"", 'Noël Wells', 'Lakeith Stanfield', 'Megan Ketch', 'Zabryna Guevara']",Keegan DeWitt,Sean McElwee,Jesse Gordon,,Netflix,83 minutes,United States,English,83,,2017,James C. Strouse,Beachside Films,
