,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Running time,Country,Language,Running Time,Budget,Release date,Written by,Production company,Story by
147,The Perfect Date,Chris Nelson,Matt Kaplan John Tomko,Steve Bloom Randall Green,"['The Stand-In', 'by Steve Bloom']",Noah Centineo Laura Marano Odiseas Georgiadis Camila Mendes Matt Walsh,Joe Wong,Bartosz Nalazek,Brad Wilhite Tara Timpone,Ace Entertainment AwesomenessFilms,Netflix,90 minutes,United States,English,90,5700000,2019,,,Steve Bloom
148,Someone Great,Jennifer Kaytin Robinson,Paul Feig Jessie Henderson Anthony Bregman Peter Cron Gina Rodriguez,,,Gina Rodriguez Brittany Snow DeWanda Wise Lakeith Stanfield Peter Vack,Germaine Franco,Autumn Eakin,Mollie Goldstein Jeffrey Wolf,Feigco Entertainment Likely Story I Can & I Will Productions,Netflix,92 minutes,United States,English,92,,2019,Jennifer Kaytin Robinson,,
149,Music Teacher,Sarthak Dasgupta,Sarthak Dasgupta,,,Manav Kaul Divya Dutta Neena Gupta,"['Original Composition:', 'R.D. Burman', 'Music Re-created By:', 'Rochak Kohli']",,,,Netflix,101 minutes,India,Hindi,101,,2019,Sarthak Dasgupta Gaurav Sharma (dialogue),Saregama India Yoodlee films,
150,Despite Everything,Gabriela Tagliavini,Ramón Campos Teresa Fernández-Valdés Eugene B. Rhee Helena Rhee Eric Charles Wilkinson,,,Blanca Suárez Amaia Salamanca Belén Cuesta Macarena García,Joaquim Badia Emilio Kauderer,Kiko de la Rica,José Manuel Jiménez,Bambú Producciones Cinephile Pictures,Netflix,78 minutes,Spain,Spanish,78,,2019,Eugene B. Rhee Helena Rhee Gabriela Tagliavini,,Eugene B. Rhee Helena Rhee Eric Charles Wilkinson
151,"Extremely Wicked, Shockingly Evil and Vile",Joe Berlinger,Michael Costigan Nicolas Chartier Joe Berlinger Ara Keshishian Michael Simkin,Michael Werwie,"['The Phantom Prince: My Life with Ted Bundy', 'by Elizabeth Kendall']",Zac Efron Lily Collins Kaya Scodelario Haley Joel Osment Jim Parsons John Malkovich James Hetfield,Marco Beltrami Dennis Smith,Brandon Trost,Josh Schaeffer,,Netflix,108 minutes,United States,English,108,,2019,,COTA Films Voltage Pictures Third Eye Motion Picture Company,
152,Wine Country,Amy Poehler,Morgan Sackett Amy Poehler,Emily Spivey Liz Cackowski,,Rachel Dratch Ana Gasteyer Amy Poehler Maya Rudolph Paula Pell Emily Spivey Cherry Jones Maya Erskine Jason Schwartzman Tina Fey,Wendy Melvoin Lisa Coleman,Tom Magill,Julie Monroe,,Netflix,103 minutes,United States,English,103,,2019,,Paper Kite Productions Paper Pictures Dunshire Productions,Amy Poehler Emily Spivey Liz Cackowski
153,Good Sam,Kate Melville,Dete Meserve Jesse Prupas,,"['Good Sam', 'by', 'Dete Meserve']",Tiya Sircar Chad Connell Marco Grazzini Jesse Camacho Mark Camacho,Mario Sevigny,Eric Cayla,Isabelle Levesque,,Netflix,90 minutes,United States,,90,,2019,Teena Booth Dete Meserve,Muse Entertainment Wind Dancer Films,
154,See You Yesterday,Stefon Bristol,Spike Lee,"['Fredrica Bailey', 'Stefon Bristol']","['See You Yesterday', 'by Fredrica Bailey', 'Stefon Bristol']","['Eden Duncan-Smith', 'Danté Crichlow', 'Marsha Stephanie Blake', 'Johnathan Nieves', 'Myra Lucretia Taylor', 'Wavyy Jonez', 'Rayshawn Richardson', 'Ron Bobb-Semple', 'Brian ""Stro"" Bradley']",Michael Abels,Felipe Vara de Rey,Jennifer Lee,,Netflix,87 minutes,United States,English,87,,2019,,40 Acres & A Mule Filmworks,
155,Rim of the world,McG,McG Mary Viola Susan Solomon-Shapiro Matt Smith,,,Jack Gore Miya Cech Benjamin Flores Jr. Alessio Scalzotto Andrew Bachelor Annabeth Gish,Bear McCreary,Shane Hurlbut,Vincent Tabaillon,Wonderland Sound and Vision Circle Of Confusion,Netflix,98 minutes,United States,English,98,19000000,2019,Zack Stentz,,
156,The Perfection,Richard Shepard,Bill Block Stacey Reiss Richard Shepard,,,Allison Williams Logan Browning Steven Weber Alaina Huffman,Paul Haslinger,Vanja Černjul,David Dean,Miramax Capstone Film Group,Netflix,90 minutes,United States,English,90,,2019,Richard Shepard Eric Charmelo Nicole Snyder,,
157,Always Be My Maybe,Nahnatchka Khan,Nathan Kahane Erin Westerman Randall Park Ali Wong,,,Ali Wong Randall Park James Saito Michelle Buteau Vivian Bang Daniel Dae Kim Keanu Reeves,Michael Andrews Greyboy,Tim Suhrstedt,Lee Haxall,,Netflix,102 minutes,United States,English,102,,2019,Randall Park Ali Wong Michael Golamco,Good Universe,
158,Chopsticks,Sachin Yardi,Ashvini Yardi,,,Abhay Deol Mithila Palkar Vijay Raaz,"['Score:', 'Pradeep Mukhopadhyay']",Kedar Gaekwad,Unnikrishnan P. P,,Netflix,100 minutes,India,Hindi,100,,2019,Sachin Yardi,Viniyard Productions,
159,Elisa & Marcela,Isabel Coixet,,,,"['Natalia de Molina', 'Greta Fernández']",Sofía Oriana Infante,,,,Netflix,,Spain,Spanish,,,2019,Isabel Coixet,,
160,Murder Mystery,Kyle Newacheck,Adam Sandler Allen Covert Tripp Vinson James D. Stern James Vanderbilt A.J. Dix,,,Adam Sandler Jennifer Aniston Luke Evans Gemma Arterton Adeel Akhtar Terence Stamp,,Amir Mokri,Tom Costain,Happy Madison Productions Endgame Entertainment Vinson Films Tower Hill Entertainment Mythology Entertainment Denver and Delilah Productions,Netflix,97 minutes,United States,English,97,,2019,James Vanderbilt,,
161,Beats,Chris Robinson,Robert Teitel Christian Sarabia Glendon Palmer,,,Anthony Anderson Khalil Everage,Siddhartha Khosla,Joshua Reis,David Blackburn,,Netflix,110 minutes,United States,English,110,,2019,Miles Orion Feldsott,Global Road Entertainment 51 Minds Entertainment Endemol Shine North America,
162,Point Blank,Joe Lynch,Joe Carnahan Frank Grillo Johanna Byer,Adam G. Simon,"['Point Blank', 'by Fred Cavayé']",Frank Grillo Anthony Mackie Marcia Gay Harden Teyonah Parris Boris McGiver Christian Cooke Markice Moore,Mitch Lee,Juanmi Azpiroz,Jim Page,,Netflix,87 minutes,United States,,87,12000000,2019,,Gaumont Film Company WarParty,
163,Secret Obsession,Peter Sullivan,Jeffrey Schenck Barry Barnholtz,,,Brenda Song Mike Vogel Dennis Haysbert Ashley Scott,Jim Dooley,Eitan Almagor,Randy Carter,,Netflix,97 minutes,United States,English,97,,2019,Kraig Wenman Peter Sullivan,Hybrid Films,
164,The Red Sea Diving Resort,Gideon Raff,Aaron L. Gilbert Alexandra Milchan Gideon Raff,,,Chris Evans Michael K. Williams Haley Bennett Michiel Huisman Alessandro Nivola Greg Kinnear Ben Kingsley,Mychael Danna,Roberto Schaefer,Tim Squyres,,Netflix,130 minutes,Canada United States,English,130,,2019,Gideon Raff,Bron Studios EMJAG Productions Shaken Not Stirred,
165,Otherhood,Cindy Chupack,Jason Michael Berman Cathy Schulman,,"['Whatever Makes You Happy', 'by', 'William Sutcliffe']",Angela Bassett Patricia Arquette Felicity Huffman Jake Hoffman Jake Lacy Sinqua Walls Heidi Gardner Stephen Kunken Damian Young Afton Williamson Becki Newton Frank De Julio Mario Cantone Molly Bernard Emily Tremaine Tim Bagley,Marcelo Zarvos,Declan Quinn,Sunny Hodge Kevin Tent,Mandalay Pictures Welle Entertainment,Netflix,100 minutes,United States,English,100,,2019,Cindy Chupack Mark Andrus,,
166,Jaoon Kahan Bata Ae Dil / Lovefucked,Aadish Keluskar,Vinay Mishra Pallavi Rohatgi Preety Ali Raghavan Bharadwaj,,,Khushboo Upadhyay Rohit Kokate Himanshu Kohli Mohammed Shakir,Aishwarya Malgave,Amey V Chavan,Anvay Shinde,,Netflix,106 minutes,India,Hindi ,106,140000,2019,Aadish Keluskar,Humaramovie,
167,Sextuplets,Michael Tiddes,Marlon Wayans Rick Alvarez Nathan Reimann,Mike Glock Rick Alvarez Marlon Wayans,,Marlon Wayans Bresha Webb Michael Ian Black Molly Shannon Glynn Turman,John Debney,Don Burgess,Lawrence Jordan,,Netflix,99 minutes,United States,English,99,,2019,,Ugly Baby Productions Wayans Alvarez Productions,Mike Glock
168,Falling Inn Love,Roger Kumble,Robyn Snyder Mel Turner,,,Christina Milian Adam Demos Jeffrey Bowyer-Chapman,Edward Shearmur,Dave Garbett,Anita Brandt Burgoyne,,Netflix,98 minutes,United States,English,98,,2019,Elizabeth Hackett Hilary Galanoy,MarVista Entertainment,
169,Back to School,Remy Four Julien War,,,,Jérôme Niel Ludovik Day Nicolas Berno,,,,,Netflix,,France,French,,,2019,Remy Four Julien War,2425 Films,
170,Tall Girl,Nzingha Stewart,McG Mary Viola Corey Marsh,,,Ava Michelle Griffin Gluck Sabrina Carpenter Paris Berelc Luke Eisner Clara Wilsey Anjelika Washington Rico Paris Angela Kinsey Steve Zahn,Mateo Messina,Eric Edwards,Priscilla Nedd Friendly,,Netflix,102 minutes,United States,English,102,13600000,2019,Sam Wolfson,Wonderland Sound and Vision,
171,Between Two Ferns: The Movie,Scott Aukerman,"['Caitlin Daley', 'Mike Farah', 'Scott Aukerman', 'Zach Galifianakis']",Scott Aukerman,"['Between Two Ferns with Zach Galifianakis', 'by', 'Scott Aukerman', 'and', 'B. J. Porter']","['Zach Galifianakis', 'Lauren Lapkus', 'Ryan Gaul', 'Jiavani Linayao']",Alex Wurman,Benjamin Kasulke,"['Brendan Walsh', 'Hank Friedmann']",,Netflix,83 minutes,United States,English,83,,2019,,"['Funny or Die', 'Billios Productions']","['Zach Galifianakis', 'Scott Aukerman']"
172,In the Shadow of the Moon,Jim Mickle,Brian Kavanaugh-Jones Ben Pugh Rian Cahill Linda Moran Jim Mickle,,,Boyd Holbrook Cleopatra Coleman Michael C. Hall,Jeff Grace,David Lanzenberg,Michael Berenbaum,,Netflix,115 minutes,United States,English,115,,2019,Gregory Weidman Geoff Tock,42 Automatik Nightshade,
173,In the Tall Grass,Vincenzo Natali,Steve Hoban Jimmy Miller M. Riley,Vincenzo Natali,"['In the Tall Grass', 'by', 'Stephen King', 'Joe Hill']",Harrison Gilbertson Laysla De Oliveira Avery Whitted Will Buie Jr. Rachel Wilson Patrick Wilson,Mark Korven,Craig Wrobleski,Michele Conroy,,Netflix,90 minutes 101 minutes (Extended version),Canada,English,90,,2019,,Copperheart Entertainment Netflix,
174,El Camino: A Breaking Bad Movie,Vince Gilligan,Mark Johnson Melissa Bernstein Charles Newirth Vince Gilligan Aaron Paul Diane Mercer,,"['Breaking Bad', 'by Vince Gilligan']",Aaron Paul,Dave Porter,Marshall Adams,Skip MacDonald,,Netflix,122 minutes,United States,English,122,6000000,2019,Vince Gilligan,Sony Pictures Television Gran Vía Productions High Bridge Productions,
175,Fractured,Brad Anderson,Neal Edelstein Mike Macari Paul Schiff,,,Sam Worthington Lily Rabe Stephen Tobolowsky Adjoa Andoh Shane Dean Lauren Cochrane,Anton Sanko,Björn Charpentier,Robert Mead,Koji Productions Crow Island Films Macari/Edelstein Paul Schiff Productions,Netflix,100 minutes,United States,English,100,,2019,Alan B. McElroy,,
176,The Forest of Love,Sion Sono,Hiroshi Muto,,,Kippei Shiina Kyoko Hinami Shinnosuke Mitsushima,Kenji Katoh,Sôhei Tanikawa,Takayuki Masuda,,Netflix,151 minutes,Japan,Japanese,151,,2019,Sion Sono,,
177,Street Flow,Leïla Sy Kery James,Toufik Ayadi,,,Jammeh Diangana Bakary Diombera Kery James,,,,,Netflix,,France,French,,,2019,Kery James,Srab Films Les Films Velvet L’Insensé Films,
178,Eli,Ciarán Foy,Trevor Macy John Zaozirny,,,Kelly Reilly Sadie Sink Lili Taylor Max Martini Charlie Shotwell,Bear McCreary,Jeff Cutter,Jason Hellmann,,Netflix,98 minutes,United States,English,98,11000000,2019,David Chirchirillo Ian Goldberg Richard Naing,Paramount Pictures Paramount Players MTV Films Intrepid Pictures Bellevue Productions,
179,Seventeen,Daniel Sánchez Arévalo,,,,Biel Montoro Nacho Sánchez,,,,,Netflix,,Spain,Spanish,,,2019,Daniel Sánchez Arévalo Araceli Sánchez,Atípica Films,
180,The Laundromat,Steven Soderbergh,Scott Z. Burns Lawrence Grey Gregory Jacobs Steven Soderbergh Michael Sugar,Scott Z. Burns,"['Secrecy World: Inside the Panama Papers Investigation of Illicit Money Networks and the Global Elite', 'by', 'Jake Bernstein']",Meryl Streep Gary Oldman Antonio Banderas Jeffrey Wright Robert Patrick David Schwimmer Rosalind Chao Sharon Stone,David Holmes,Peter Andrews,Mary Ann Bernard,,Netflix,95 minutes,United States,English,95,,2019,,Anonymous Content Grey Matter Productions Topic Studios Netflix Sugar23,
181,Upstarts,Udai Singh Pawar,"['Raja Krishna Menon', 'Janani Ravichandran', 'Jawahar Sharma']",,,"['Priyanshu Painyuli', 'Chandrachoor Rai', 'Shadab Kamal', 'Sheetal Thakur']",,,,,Netflix,,India,Hindi,,,2019,,Bandra West Pictures,
182,Dolemite Is My Name,Craig Brewer,Eddie Murphy John Davis John Fox,,,Eddie Murphy Da'Vine Joy Randolph Keegan-Michael Key Mike Epps Craig Robinson Tituss Burgess Wesley Snipes,Scott Bomar,Eric Steelberg,Billy Fox,,Netflix,118 minutes,United States,English,118,,2019,Scott Alexander Larry Karaszewski,Davis Entertainment Netflix,
183,Rattlesnake,Zak Hilditch,,,,Carmen Ejogo Theo Rossi Emma Greenwell,,,,,Netflix,85 minutes,United States,English,85,,2019,Zak Hilditch,Campfire Netflix,
184,The King,David Michôd,Brad Pitt Dede Gardner Jeremy Kleiner Liz Watts David Michôd Joel Edgerton,,"['Henry IV, Part 1', ',', 'Henry IV, Part 2', 'and', 'Henry V', 'by', 'William Shakespeare']",Timothée Chalamet Joel Edgerton Robert Pattinson Lily-Rose Depp Sean Harris Ben Mendelsohn,Nicholas Britell,Adam Arkapaw,Peter Sciberras,Plan B Entertainment Netflix Blue-Tongue Films Porchlight Films,Netflix,140 minutes,Australia,English,140,23000000,2019,David Michôd Joel Edgerton,,
185,American Son,Kenny Leon,Kenny Leon Kristin Bernstein Christopher Demos-Brown,,"['American Son', 'by Christopher Demos-Brown']",Kerry Washington Steven Pasquale Jeremy Jordan Eugene Lee,Lisbeth Scott,Kramer Morgenthau,Melissa Kent,,Netflix,90 minutes,United States,English,90,,2019,Christopher Demos-Brown,Simpson Street,
186,Drive,Tarun Mansukhani,Hiroo Yash Johar Karan Johar Apoorva Mehta,,,Sushant Singh Rajput Jacqueline Fernandez Naufal Azmir Khan Pankaj Tripathi Vikramjeet Virk Sapna Pabbi Vibha Chibber,"['Songs:', 'Tanishk Bagchi', 'Amartya Bobo Rahut', 'Javed - Mohsin', 'Score:', 'QARAN']",Vishal Sinha,Tarun Mansukhani,,Netflix,119 minutes,India,Hindi,119,,2019,Tarun Mansukhani,Dharma Productions,
187,The Man Without Gravity,Marco Bonfanti,,,,Elio Germano Michela Cescon Elena Cotta,,,,Isaria Productions Zagora Climax Films Netflix,Netflix,,France,Italian,,,2019,Marco Bonfanti,,
188,Holiday in the Wild,Ernie Barbarash,Brad Krevoy Amy Krell,,,Rob Lowe Kristin Davis,Alan Lazar,Hein de Vos,Heath Ryan,,Netflix,86 minutes,United States,English,86,,2019,Neal Dobrofsky Tippi Dobrofsky,,
189,Let It Snow,Luke Snellin,Dylan Clark Alexa Faigen,Laura Solon Victoria Strouse Kay Cannon,"['Let It Snow: Three Holiday Romances', 'by', 'John Green', ',', 'Lauren Myracle', ',', 'Maureen Johnson']",Isabela Merced Matthew Noszka Liv Hewson Odeya Rush Kiernan Shipka Mitchell Hope Shameik Moore Anna Akana Jacob Batalon Joan Cusack,Keegan DeWitt,Jeff Cutter,Evan Henke,,Netflix,92 minutes,United States,English,92,,2019,,Dylan Clark Productions,
190,Earthquake Bird,Wash Westmoreland,Georgina Pope Michael Pruss Ann Ruark Ridley Scott Kevin J. Walsh,Wash Westmoreland,"['The Earthquake Bird', 'by', 'Susanna Jones']",Alicia Vikander Riley Keough Naoki Kobayashi Jack Huston,Atticus Ross Leopold Ross Claudia Sarne,Chung Chung-hoon,Jonathan Alberts,,Netflix,107 minutes,United States,Japanese,107,,2019,,Scott Free Productions Twenty First City,
191,House Arrest,Samit Basu and Shashanka Ghosh,,,,"['Ali Fazal', 'Shriya Pilgaonkar', 'Jim Sarbh', 'Barkha Singh']",,,,,Netflix,104 minutes,India,Hindi,104,,2019,Samit Basu,India Stories,
192,Klaus,Sergio Pablos,Jinko Gotoh Sergio Pablos Marisa Roman Matthew Teevan Mercedes Gamero Mikel Lejarza Ortiz Gustavo Ferrada,Sergio Pablos Jim Mahoney Zach Lewis,,Jason Schwartzman J. K. Simmons Rashida Jones Will Sasso Neda Margrethe Labba Sergio Pablos Norm Macdonald Joan Cusack,Alfonso González Aguilar,,Pablo Garcia Revert,,Netflix,97 minutes,Spain,English ,97,40000000,2019,,Netflix Animation Sergio Pablos Animation Studios Atresmedia Cine,Sergio Pablos
193,The Knight Before Christmas,Monika Mitchell,Brad Krevoy Vanessa Hudgens,,,Vanessa Hudgens Josh Whitehouse Emmanuelle Chriqui,Roger Bellon,Greg Gardiner,Lara Mazur,,Netflix,92 minutes,United States,English,92,,2019,Cara J. Russell,Brad Krevoy Productions,
194,The Irishman,Martin Scorsese,Martin Scorsese Robert De Niro Jane Rosenthal Emma Tillinger Koskoff Irwin Winkler Gerald Chamales Gastón Pavlovich Randall Emmett Gabriele Israilovici,Steven Zaillian,"['I Heard You Paint Houses', 'by', 'Charles Brandt']",Robert De Niro Al Pacino Joe Pesci Ray Romano Bobby Cannavale Anna Paquin Stephen Graham Harvey Keitel,Robbie Robertson,Rodrigo Prieto,Thelma Schoonmaker,TriBeCa Productions Sikelia Productions Winkler Films,Netflix,209 minutes,United States,English,209,159000000,2019,,,
195,Holiday Rush,Leslie Small,Julie Crank Di Cataldo Sean Dwyer Elizabeth Cullen,,,Romany Malco Sonequa Martin-Green Deon Cole Amarr M. Wooten La La Anthony Alysia Livingston Andrea-Marie Alphonse Selena-Marie Alphonse Roscoe Orman Malika Samuel Deysha Nelson Tamala Jones Darlene Love,Kathryn Bostic,Keith L. Smith,Jamie Conklin,,Netflix,94 minutes,United States,English,94,,2019,Sean Dwyer Greg Cope White,Poke Prod Production,
196,Dead Kids,Mikhail Red,Pauline Zamora,,,Sue Ramirez Khalil Ramos Markus Paterson Vance Larena Kelvin Miranda Gabby Padilla Jan Silverio,,,Nikolas Red,,Netflix,94 minutes,Philippines,Filipino,94,,2019,Nikolas Red,Globe Studios Pelikula Red Asmik Ace,
197,A Christmas Prince: The Royal Baby,John Schultz,Amy Krell,,,Rose McIver Ben Lamb Alice Krige Honor Kneafsey Sarah Douglas,Zack Ryan,Viorel Sergovici,Marshall Harvey,,Netflix,85 minutes,United States,English,85,,2019,Nate Atkins,MPCA,
198,Marriage Story,Noah Baumbach,David Heyman Noah Baumbach,,,Scarlett Johansson Adam Driver Laura Dern Alan Alda Ray Liotta Julie Hagerty Merritt Wever,Randy Newman,Robbie Ryan,Jennifer Lame,Heyday Films,Netflix,137 minutes,United States,English,137,18000000,2019,Noah Baumbach,,
199,6 Underground,Michael Bay,Michael Bay Ian Bryce David Ellison Dana Goldberg Don Granger,,,Ryan Reynolds Mélanie Laurent Corey Hawkins Adria Arjona Manuel Garcia-Rulfo Ben Hardy Lior Raz Payman Maadi Yuri Kolokolnikov Kim Kold Dave Franco,Lorne Balfe,Bojan Bazelli,William Goldenberg Roger Barton Calvin Wimmer,,Netflix,128 minutes,United States,English,128,150000000,2019,Paul Wernick Rhett Reese,Skydance Media Bay Films,
200,The Two Popes,Fernando Meirelles,Dan Lin Jonathan Eirich Tracey Seaward,Anthony McCarten,"['The Pope', 'by Anthony McCarten']",Anthony Hopkins Jonathan Pryce,Bryce Dessner,César Charlone,Fernando Stutz,,Netflix,125 minutes, Italy ,English,125,,2019,,Netflix,
201,Como caído del cielo,José Pepe Bojórquez,,José Pepe Bojórquez Alfredo Felix-Díaz,,Omar Chaparro,Jorge Avendaño Benjamin Shwartz,Chris Chomyn,,Caldera/De Fanti Entertainment Esparza Caldera Entertainment La Victoria Films Netflix,Netflix,,Mexico,Spanish,,,2019,,,
202,The App,Elisa Fuksas,,,,,,,,,Netflix,79 minutes,Italy,Italian,79,,2019,Elisa Fuksas Lucio Pellegrini,Indiana Production Company Netflix,
203,Ghost Stories,Karan Johar Dibakar Banerjee Zoya Akhtar Anurag Kashyap,Ronnie Screwvala Ashi Dua,,,Sobhita Dhulipala Mrunal Thakur Avinash Tiwary Janhvi Kapoor Surekha Sikri Raghuvir Yadav Gulshan Devaiah Anish Bamne Pavail Gulati,,Sylvester Fonseca Tanay Satam Kamaljeet Negi Manu Anand Mitesh Mirchandani Ranjan Palit,,,Netflix,144 minutes,India,Hindi,144,,2020,Karan Johar Dibakar Banerjee Zoya Akhtar Isha Luthra Avinash Sampath,"['RSVP Movies', 'Flying Unicorn Entertainment']",
204,A Fall from Grace,Tyler Perry,Mark E. Swinton Will Areu,,,Crystal Fox Phylicia Rashad Bresha Webb Cicely Tyson Tyler Perry,Jay Weigel,Terrence Burke,Larry Sexton,,Netflix,120 minutes,United States,English,120,,2020,Tyler Perry,Tyler Perry Studios,
205,Airplane Mode,César Rodrigues,Luiz Noronha,,,Larissa Manoela Erasmo Carlos Katiuscia Canoro André Frambach Dani Ornellas Eike Duarte Nayobe Nzainab,,,,,Netflix,95 minutes,Brazil,Portuguese,95,,2020,Renato Fagundes Alice Name-Bomtempo,A Fábrica,
206,Horse Girl,Jeff Baena,Mel Eslyn Alana Carithers Jeff Baena Alison Brie,,,Alison Brie Debby Ryan John Reynolds Molly Shannon John Ortiz Paul Reiser,Josiah Steinbrick Jeremy Zuckerman,Sean McElwee,Ryan Brown,,Netflix,103 minutes,United States,English,103,,2020,Jeff Baena Alison Brie,Duplass Brothers Productions,
207,To All the Boys: P.S. I Still Love You,Michael Fimognari,Matt Kaplan,Sofia Alvarez J. Mills Goodloe,"['P.S. I Still Love You', 'by', 'Jenny Han']",Lana Condor Noah Centineo Jordan Fisher Anna Cathcart Janel Parrish Ross Butler Madeleine Arthur Emilija Baranac Trezzo Mahoro Holland Taylor Sarayu Blue John Corbett,Joe Wong,Michael Fimognari,Joe Klotz,Overbrook Entertainment Awesomeness Films Ace Entertainment,Netflix,102 minutes,United States,English,102,18000000,2020,,,
208,Isi & Ossi,Oliver Kienle,Uwe Schott Stefan Arndt Jorgo Narjes,,,Lisa Vicari Dennis Mojen Christina Hecke Pegah Ferydoni,Michael Kadelbach,Yoshi Heimrath,Knut Hake,,Netflix,113 minutes,Germany,German,113,,2020,Oliver Kienle,X-Filme Creative Pool,
209,The Last Thing He Wanted,Dee Rees,Cassian Elwes Dee Rees,Marco Villalobos Dee Rees,"['The Last Thing He Wanted', 'by', 'Joan Didion']",Anne Hathaway Ben Affleck Rosie Perez Edi Gathegi Mel Rodriguez Toby Jones Willem Dafoe,Tamar-kali,Bobby Bukowski,Mako Kamitsuna,,Netflix,115 minutes,United States,English,115,,2020,,Elevated Films Little Red Hen The Fyzz Facility,
210,Yeh Ballet,Sooni Taraporevala,Siddharth Roy Kapur,,,Julian Sands Achintya Bose Manish Chauhan,,,,,Netflix,117 min,,Hindi,117,,2020,Sooni Taraporevala,Roy Kapur Films,
211,All the Bright Places,Brett Haley,Paula Mazur Mitchell Kaplan Elle Fanning Brittany Kahan-Ward Doug Mankoff Andrew Spaulding,Jennifer Niven Liz Hannah,"['All the Bright Places', 'by Jennifer Niven']",Elle Fanning Justice Smith Alexandra Shipp Kelli O'Hara Lamar Johnson Virginia Gardner Felix Mallard Sofia Hasmik Keegan-Michael Key Luke Wilson,Keegan DeWitt,Rob C. Givens,Suzy Elmiger,Echo Lake Entertainment Mazur/Kaplan Company Demarest Media,Netflix,108 minutes,United States,English,108,,2020,,,
212,Guilty,Ruchi Narain,"['Karan Johar', 'Apoorva Mehta']",,,Kiara Advani Akansha Ranjan Kapoor Gurfateh Singh Pirzada Taher Shabbir,Ankur Tewari,Andrew Boulter,Bodhaditya Banerjee,,Netflix,119 minutes,India,Hindi,119,,2020,"['Kanika Dhillon', 'Ruchi Narain', 'Atika Chohan']",Dharmatic,
213,Spenser Confidential,Peter Berg,Neal H. Moritz Toby Ascher Mark Wahlberg Stephen Levinson Peter Berg,,"['Wonderland', 'by', 'Ace Atkins']",Mark Wahlberg Winston Duke Alan Arkin Iliza Shlesinger Bokeem Woodbine Marc Maron Austin Post,Steve Jablonsky,Tobias A. Schliessler,Mike Sale,,Netflix,111 minutes,United States,English,111,,2020,Sean O'Keefe Brian Helgeland,Original Film Closest to the Hole Productions Leverage Entertainment Film 44,
214,Lost Girls,Liz Garbus,Anne Carey Kevin McCormick,,"['Lost Girls: An Unsolved American Mystery', 'by', 'Robert Kolker']",Amy Ryan Thomasin McKenzie Lola Kirke Oona Laurence Dean Winters Miriam Shor Reed Birney Kevin Corrigan Gabriel Byrne,,Igor Martinovic,Camilla Toniolo,Archer Gray Langley Park Productions,Netflix,95 minutes,United States,English,95,,2020,Michael Werwie,,
215,Ultras,Francesco Lettieri,,,,Aniello Arena Ciro Nacca Simone Borrelli,Liberato,,,,Netflix,108 minutes,Italy,Italian,108,,2020,Francesco Lettieri,Indigo Film Mediaset,
216,The Occupant,David Pastor Àlex Pastor,,,,Javier Gutiérrez Mario Casas Bruna Cusí,,,,,Netflix,,Spain,Spanish,,,2020,David Pastor Àlex Pastor,Nostromo Pictures,
217,Maska,Neeraj Udhwani,"['Seher Latif', 'Shivani Saran']",,,Manisha Koirala Javed Jaffrey Nikita Dutta Shirley Setia Prit Kamani,"['Akshay Raheja', 'Mikey McCleary', 'Ketan Sodha']",Eeshit Narain,Farooq Hundekar,,Netflix,,India,Hindi,,,2020,"['Ishita Moitra', 'Neeraj Udhwani']",Mutant Films,
218,The Decline,Patrice Laliberté,Julie Groleau,"['Charles Dionne', 'Nicholas Krief', 'Patrice Laliberté']",,"['Guillaume Laurin', 'Réal Bossé', 'Marc-André Grondin']",Jason Sharp,Christophe Dalpé,Arthur Tarnowski,,Netflix,,Canada,French,,,2020,,Couronne Nord,
219,Uncorked,Prentice Penny,Prentice Penny Jill Ahrens Ryan Ahrens Ben Renzo Datari Turner Chris Pollack Jason Michael Berman,,,Mamoudou Athie Courtney B. Vance Niecy Nash Matt McGorry Sasha Compère Gil Ozeri Kelly Jenrette Bernard David Jones Meera Rohit Kumbhani,Hit-Boy,Elliot Davis,Sandra Montiel,Forge Media Argent Pictures Mandalay Pictures,Netflix,104 minutes,United States,English,104,,2020,Prentice Penny,,
220,Coffee & Kareem,Michael Dowse,Mike Falbo Ed Helms,,,Ed Helms Terrence Little Gardenhigh Betty Gilpin RonReaco Lee Andrew Bachelor David Alan Grier Taraji P. Henson,Joseph Trapanese,Brian Burgoyne,Daniel Gabbe,Pacific Electric Picture Co.,Netflix,88 minutes,United States,English,88,,2020,Shane Mack,,
221,The Main Event,Jay Karas,"['Richard Lowell', 'Jay Karas', 'Rupert Parkes', 'Renee Young', 'Adam Pally', 'Keith Lee']","['Adam Pally', 'Seth Carr', 'Keith Lee', 'Renee Young']",,"Seth Carr Tichina Arnold Ken Marino Aryan Simhadri Momona Tamada Glen Gordon Keith Lee Babatunde Aiyegbusi Josh Zaharia Dallas Young Bodhi Sabongui Renee Paquette Matt Polinsky Kofi Kingston Stephen Farrelly Mike ""The Miz"" Mizanin Adam Pally",Rupert Parkes,"['Karsten Gopinath', 'Dan Schalk', 'Rupert Parkes', 'Larry Postel']",Dan Schalk,,Netflix,101 minutes,United States,English,101,,2020,,"['WWE Studios', 'Apple Inc.']",Larry Postel
